Ceremony,Year,Location,Class,Category,Movie,Movie Code,Name,Nominees,Winner,Detail,Note
86,2013,"212 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,GIFFORD HOOPER|PHILIP GEORGE,True,Photography,"The current Helicam system is a high-speed, extremely maneuverable, turbine-engine, radio-controlled miniature helicopter that supports professional film and digital cinema cameras. Helicam provides a wide range of stabilized, remotely operated pan, tilt and roll capabilities, achieving shots impossible for full-size helicopters."
86,2013,"213 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,John Frazier|Chuck Gaspar|Clay Pinney,True,Stage Operations,"This self-contained high-pressure pneumatic device safely launches a stationary full-sized car on a predetermined trajectory. The precision of operation enhances the safety of performers, and the physical design allows a rapid setup and strike."
86,2013,"214 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Joshua Pines|David Reisner|Lou Levinson|Curtis Clark ASC|David Register,True,Systems,"The ASC CDL unifies color correction principles for use on- and off-set, providing for the faithful reproduction of color values across a variety of color correction devices. This technology provides basic image-processing mathematics that translate the lift, gamma and gain settings to a set of common color values to help preserve the cinematographer's intent throughout production."
86,2013,"215 Washington Square South, New York, NY 10012, United States",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Jeremy Selan,True,Digital Imaging Technology,"OpenColorIO, developed at Sony Pictures Imageworks, is an open source framework that enables consistent color visualization of motion picture imagery across multiple facilities and numerous software applications."
86,2013,"216 Washington Square South, New York, NY 10012, United States",Special,JOHN A. BONNER MEDAL OF COMMENDATION,,,,"Charles \""Tad\"" Marburg",True,,
87,2014,"487 Washington Pl, New York, NY 10003, USA",Special,JEAN HERSHOLT HUMANITARIAN AWARD,,,Harry Belafonte,Harry Belafonte,True,,
87,2014,"488 Washington Pl, New York, NY 10003, USA",Special,HONORARY AWARD,,,,Jean-Claude Carrière,True,,
87,2014,"489 Washington Pl, New York, NY 10003, USA",Special,HONORARY AWARD,,,,Hayao Miyazaki,True,,
87,2014,"490 Washington Pl, New York, NY 10003, USA",Special,HONORARY AWARD,,,,Maureen O'Hara,True,,
87,2014,"491 Washington Pl, New York, NY 10003, USA",Special,GORDON E. SAWYER AWARD,,,,David Winchester Gray,True,,
87,2014,"492 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),,,,Dr. Larry Hornbeck,True,Digital Apparatuses Technology,The Digital Micromirror Device (DMD) is the core technology that has enabled Texas Instruments' DLP Cinema projection to become the standard of the motion picture industry.
87,2014,"493 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Iain Neil|ANDRÉ De Winter,True,Lenses and Filters,"Incorporating novel telecentric multi-element aspherical optics, these camera lenses have delivered unprecedented optical and mechanical performance."
87,2014,"494 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Brad Walker|D. Scott Dewald|Bill Werner|Greg Pettitt|Frank Poradish,True,Digital Apparatuses Technology,"Working in conjunction with the film industry, Texas Instruments created a high-resolution, high-quality digital projection system that has replaced most film-based projection systems in the theatrical environment."
87,2014,"495 Washington Pl, New York, NY 10003, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Ichiro Tsutsui|Masahiro Take|Mitsuyasu Tamura|Mitsuru Asano,True,Digital Apparatuses Technology,"These precise, wide-gamut monitors allow creative image decisions to be made on set with confidence that the desired images can be accurately reproduced in post-production."
